introgression_tract,Sdro,Sfra,Spal,Hpul,Overlapping Gene,Gene Name,Gene Length,Overlapping Bases,Percent Introgressed,Gene Coordinates,ECB Gene ID,Gene Synonyms,Curation Status,Gene Info,Echinobase GO,Echinobase KO,Tu GO
NW-022145603.1:12121405-12156073,33.24,49.9,31.25,16.52,LOC105443927,G-protein coupled receptor GRL101-like,22469,22469,100.0,NW_022145603.1:12125550-12148019,ECB-GENEPAGE-23093775,Sp-Lrr/Gpcr_6|SPU_008259|SPU_016925|Sp-Rxfp2L_3|SPU_003492|relaxin/insulin-like family peptide receptor 2-like-3,partially curated,n/a,n/a,n/a,"GPCRRhodopsin,GPCRRhodopsin_All,GPCRRhodopsin_All|GPCRRhodopsin,GPCRRhodopsin_All,GPCRRhodopsin_All"
NW-022145603.1:12121405-12156073,33.24,49.9,31.25,16.52,LOC580849,reticulon 4 interacting protein 1,4291,536,12.49126077837334,NW_022145603.1:12155537-12159828,ECB-GENEPAGE-23093779,"LOC580849|Sp-Rtn4ip1_2|NOGO-interacting mitochondrial protein|Reticulon-4-interacting protein 1|Sp-Rtn4ip1|SPU_006198|SPU_028353|reticulon-4-interacting protein 1, mitochondrial|LOC110975410",curated,n/a,n/a,n/a,n/a
NW-022145594.1:31081121-31115573,57.11,58.72,25.53,39.09,LOC105443124,uncharacterized LOC105443124,35165,33674,95.75998862505331,NW_022145594.1:31079630-31114795,ECB-GENEPAGE-23031943,Sp-Nlr92|SPU_008029|SPU_005993,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR"
NW-022145609.1:6496547-6498250,92.63,55.33,27.67,25.86,LOC100890603,uncharacterized LOC100890603,45901,1703,3.7101588200692794,NW_022145609.1:6457809-6503710,ECB-GENEPAGE-23131637,Sp-Clect/Tm/Duf|SPU_016088|DUF1339|Clect|Tm,partially curated,n/a,n/a,n/a,n/a
NW-022145604.1:19963520-19967652,17.0,15.74,7.67,13.67,LOC115926100,vesicle-trafficking protein SEC22a-like,11543,1723,14.926795460452222,NW_022145604.1:19965929-19977472,ECB-GENEPAGE-23102082,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145604.1:19972190-20004844,17.74,21.38,6.36,23.94,LOC115918787,putative acyl-CoA-binding protein,11872,11872,100.0,NW_022145604.1:19979689-19991561,ECB-GENEPAGE-23102088,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145604.1:20004909-20017653,14.86,18.29,6.51,16.15,LOC115926101,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase-like,16103,5720,35.52133142892629,NW_022145604.1:19994526-20010629,ECB-GENEPAGE-23102093,Sp-Acmsd|SPU_017684|aminocarboxymuconate semialdehyde decarboxylase|2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:29493652-29525803,23.52,26.45,33.78,25.08,LOC115923269,uncharacterized LOC115923269,1431,1431,100.0,NW_022145598.1:29513377-29514808,ECB-GENEPAGE-23062338,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:13971116-14003002,54.72,62.67,16.51,20.43,LOC105438664,uncharacterized LOC105438664,17598,15483,87.98158881691101,NW_022145603.1:13969001-13986599,ECB-GENEPAGE-23094136,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:13971116-14003002,54.72,62.67,16.51,20.43,LOC115925441,extensin-like,6464,6464,100.0,NW_022145603.1:13986460-13992924,ECB-GENEPAGE-23094140,SPU_006875,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:26760781-26792572,18.06,18.08,7.1,11.1,LOC115927929,"acetyl-CoA acetyltransferase, cytosolic-like",8907,8907,100.0,NW_022145607.1:26773964-26782871,ECB-GENEPAGE-23127176,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:26760781-26792572,18.06,18.08,7.1,11.1,LOC115928354,"acetyl-CoA acetyltransferase, cytosolic-like",11045,3848,34.83929379809869,NW_022145607.1:26788724-26799769,ECB-GENEPAGE-23127180,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:31125151-31156369,63.77,47.36,18.66,15.09,LOC105439492,uncharacterized LOC105439492,4495,1767,39.310344827586206,NW_022145598.1:31122423-31126918,ECB-GENEPAGE-23062701,Sp-Hypp_890|SPU_017670|hypothetical protein-890|Sp-Clect_26|SPU_012314|Sp-Clect/Tm_14|SPU_014220|Tm|CLECT-like,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:31125151-31156369,63.77,47.36,18.66,15.09,LOC115923275,acyl-coenzyme A thioesterase 13-like,1825,1825,100.0,NW_022145598.1:31149291-31151116,ECB-GENEPAGE-23062709,Sp-Them2|SPU_017669|thioesterase superfamily member 2,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:2715141-2746358,13.68,16.7,10.74,13.63,LOC105447492,DnaJ heat shock protein family (Hsp40) member C24,6278,148,2.3574386747371774,NW_022145603.1:2709011-2715289,ECB-GENEPAGE-23092328,LOC105447492|dnaJ homolog subfamily C member 24-like,curated,n/a,n/a,n/a,n/a
NW-022145603.1:11243259-11273794,35.88,49.56,22.44,14.01,LOC105436631,ankyrin repeat domain-containing protein 50-like,10271,192,1.8693408626229189,NW_022145603.1:11233180-11243451,ECB-GENEPAGE-23093666,"ankyrin2,3/unc44-like-26 |Sp-Unc44L_26| ankyrin2,3/unc44-like-70 |Sp-Unc44L_70|SPU_002778|SPU_011021",partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:11243259-11273794,35.88,49.56,22.44,14.01,LOC115925528,uncharacterized LOC115925528,2238,2238,100.0,NW_022145603.1:11255041-11257279,ECB-GENEPAGE-23093670,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:11274079-11274890,18.28,22.84,30.49,8.74,LOC100892391,hemicentin-2,23374,811,3.4696671515358948,NW_022145603.1:11273049-11296423,ECB-GENEPAGE-23093674,SPU_009405,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:13813637-13844066,12.91,16.73,7.41,17.18,LOC115928502,uncharacterized LOC115928502,3314,3314,100.0,NW_022145609.1:13828606-13831920,ECB-GENEPAGE-23133351,Sp-Hypp_2903|SPU_027429|hypothetical protein-2903,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:13813637-13844066,12.91,16.73,7.41,17.18,LOC584669,AP-1 complex subunit mu-1,12066,7994,66.25227913144373,NW_022145609.1:13809565-13821631,ECB-GENEPAGE-23133343,Sp-Ap1m1|SPU_004297|adaptor-related protein complex 1|mu 1 subunit,partially curated,n/a,"GO:0006886,GO:0016192,GO:0030131",n/a,n/a
NW-022145609.1:13813637-13844066,12.91,16.73,7.41,17.18,LOC752900,TLC domain-containing protein 4-B,10258,5438,53.01228309612011,NW_022145609.1:13838628-13848886,ECB-GENEPAGE-23133356,SPU_027428,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:11469694-11499628,14.68,17.68,7.19,16.96,LOC115917892,uncharacterized LOC115917892,14735,7140,48.45605700712589,NW_022145609.1:11462099-11476834,ECB-GENEPAGE-23132825,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:11469694-11499628,14.68,17.68,7.19,16.96,LOC579360,cubilin,17719,17719,100.0,NW_022145609.1:11481007-11498726,ECB-GENEPAGE-23132829,SPU_001894,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:11501749-11504171,39.34,41.44,16.13,31.55,LOC105440233,uncharacterized LOC105440233,46424,2422,5.217129071170085,NW_022145609.1:11499075-11545499,ECB-GENEPAGE-23132834,Sp-Clect/Fn3|SPU_001893|Sp-Clect/Fn3_19|SPU_010216,partially curated,n/a,n/a,n/a,"Adhesion,Adhesion_ReceptorIgFN3,Adhesion_ReceptorIgFN3|Adhesion,Adhesion_ReceptorIgFN3,Adhesion_ReceptorIgFN3"
NW-022145609.1:14469099-14498824,12.76,19.83,6.46,15.94,LOC115928505,deleted in malignant brain tumors 1 protein-like,5546,1352,24.37793003966823,NW_022145609.1:14464905-14470451,ECB-GENEPAGE-23133458,Sp-Srcr188|SPU_022288,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorScavenger,Immunity_ReceptorScavenger"
NW-022145609.1:14469099-14498824,12.76,19.83,6.46,15.94,LOC575622,deleted in malignant brain tumors 1 protein-like,26368,23553,89.32418082524272,NW_022145609.1:14475271-14501639,ECB-GENEPAGE-23133462,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145601.1:21005949-21034303,17.42,17.12,7.66,16.93,LOC115924566,ATP-dependent translocase ABCB1-like,44381,28354,63.887699691309344,NW_022145601.1:21005089-21049470,ECB-GENEPAGE-23084030,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:1971682-2000022,37.46,47.36,14.96,31.85,LOC100890395,uncharacterized LOC100890395,17357,668,3.8485913464308346,NW_022145598.1:1999354-2016711,ECB-GENEPAGE-23057353,"family with sequence similarity 151, member B-like |Sp-Fam151bL|SPU_006646|LOC110979757",partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:1971682-2000022,37.46,47.36,14.96,31.85,LOC581946,4-coumarate--CoA ligase 1-like,33555,22886,68.20444047086872,NW_022145598.1:1961013-1994568,ECB-GENEPAGE-23057345,Sp-4Cl|SPU_021869|4-coumaroyl-CoA synthase|4-coumarate--CoA ligase,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:31906471-31934571,15.12,36.02,9.87,12.87,LOC105446680,uncharacterized LOC105446680,52234,28100,53.79637783818968,NW_022145607.1:31891145-31943379,ECB-GENEPAGE-23128113,SPU_011382,partially curated,n/a,n/a,n/a,n/a
NW-022145612.1:9925020-9925093,50.32,53.33,17.68,79.03,LOC756624,uncharacterized LOC756624,32776,73,0.22272394434952403,NW_022145612.1:9910985-9943761,ECB-GENEPAGE-23158861,Sp-Hypp_1545|SPU_004819|hypothetical protein-1545|LOC110987773,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:5250353-5278080,21.06,30.2,14.54,29.98,LOC115928884,tyrosine-protein phosphatase Lar-like,14519,14519,100.0,NW_022145609.1:5259103-5273622,ECB-GENEPAGE-23131398,n/a,partially curated,n/a,n/a,n/a,n/a
