ECB-GENEPAGE-23009062	ECB-GENE-23009063	LOC105443448	KEGG:spu:105443448
ECB-GENEPAGE-23015317	ECB-GENE-23015318	LOC414055	KEGG:spu:414055
ECB-GENEPAGE-23015324	ECB-GENE-23015325	LOC576227	KEGG:spu:576227
ECB-GENEPAGE-23015400	ECB-GENE-23015401	LOC503549	KEGG:spu:503549
ECB-GENEPAGE-23015440	ECB-GENE-23015441	rhoa	KEGG:spu:585398
ECB-GENEPAGE-23015517	ECB-GENE-23015518	LOC578136	KEGG:spu:578136
ECB-GENEPAGE-23015677	ECB-GENE-23015678	LOC579848	KEGG:spu:579848
ECB-GENEPAGE-23015778	ECB-GENE-23015779	LOC100891884	KEGG:spu:100891884
ECB-GENEPAGE-23015978	ECB-GENE-23015979	185-333	KEGG:spu:585345
ECB-GENEPAGE-23017147	ECB-GENE-23017148	LOC100891926	KEGG:spu:100891926
ECB-GENEPAGE-23017180	ECB-GENE-23017181	LOC580559	KEGG:spu:580559
ECB-GENEPAGE-23017315	ECB-GENE-23017316	LOC577360	KEGG:spu:577360
ECB-GENEPAGE-23017403	ECB-GENE-23017404	LOC587652	KEGG:spu:587652
ECB-GENEPAGE-23017790	ECB-GENE-23017791	LOC587704	KEGG:spu:587704
ECB-GENEPAGE-23017803	ECB-GENE-23017804	LOC586424	KEGG:spu:586424
ECB-GENEPAGE-23017829	ECB-GENE-23017830	LOC581579	KEGG:spu:581579
ECB-GENEPAGE-23018152	ECB-GENE-23018153	LOC105445656	KEGG:spu:105445656
ECB-GENEPAGE-23018517	ECB-GENE-23018518	tmem16	KEGG:spu:577144
ECB-GENEPAGE-23018579	ECB-GENE-23018580	LOC585435	KEGG:spu:585435
ECB-GENEPAGE-23018669	ECB-GENE-23018670	LOC583452	KEGG:spu:583452
ECB-GENEPAGE-23018709	ECB-GENE-23018710	SRC8	KEGG:spu:373471
ECB-GENEPAGE-23019185	ECB-GENE-23019186	LOC105437211	KEGG:spu:105437211
ECB-GENEPAGE-23019256	ECB-GENE-23019257	LOC763851	KEGG:spu:763851
ECB-GENEPAGE-23019526	ECB-GENE-23019527	socs2	KEGG:spu:594503
ECB-GENEPAGE-23019611	ECB-GENE-23019612	LOC579072	KEGG:spu:579072
ECB-GENEPAGE-23019616	ECB-GENE-23019617	LOC591846	KEGG:spu:591846
ECB-GENEPAGE-23019651	ECB-GENE-23019652	bmi1	KEGG:spu:578544
ECB-GENEPAGE-23019672	ECB-GENE-23019673	LOC585056	KEGG:spu:585056
ECB-GENEPAGE-23019716	ECB-GENE-23019717	LOC100890219	KEGG:spu:100890219
ECB-GENEPAGE-23019835	ECB-GENE-23019836	LOC583245	KEGG:spu:583245
ECB-GENEPAGE-23020315	ECB-GENE-23020316	LOC753268	KEGG:spu:753268
ECB-GENEPAGE-23020537	ECB-GENE-23020538	LOC584356	KEGG:spu:584356
ECB-GENEPAGE-23020558	ECB-GENE-23020559	LOC592772	KEGG:spu:592772
ECB-GENEPAGE-23020604	ECB-GENE-23020605	LOC575388	KEGG:spu:575388
ECB-GENEPAGE-23020663	ECB-GENE-23020664	LOC753177	KEGG:spu:753177
ECB-GENEPAGE-23021089	ECB-GENE-23021090	LOC578390	KEGG:spu:578390
ECB-GENEPAGE-23021146	ECB-GENE-23021147	LOC577784	KEGG:spu:577784
ECB-GENEPAGE-23021291	ECB-GENE-23021292	LOC583405	KEGG:spu:583405
ECB-GENEPAGE-23021474	ECB-GENE-23021475	LOC579194	KEGG:spu:579194
ECB-GENEPAGE-23021505	ECB-GENE-23021506	LOC373230	KEGG:spu:373230
ECB-GENEPAGE-23021530	ECB-GENE-23021531	LOC583257	KEGG:spu:583257
ECB-GENEPAGE-23021668	ECB-GENE-23021669	LOC763278	KEGG:spu:763278
ECB-GENEPAGE-23021721	ECB-GENE-23021722	LOC582953	KEGG:spu:582953
ECB-GENEPAGE-23021898	ECB-GENE-23021899	LOC585187	KEGG:spu:585187
ECB-GENEPAGE-23022017	ECB-GENE-23022018	LOC588640	KEGG:spu:588640
ECB-GENEPAGE-23022261	ECB-GENE-23022262	LOC578814	KEGG:spu:578814
ECB-GENEPAGE-23022478	ECB-GENE-23022479	LOC578397	KEGG:spu:578397
ECB-GENEPAGE-23022588	ECB-GENE-23022589	LOC100891363	KEGG:spu:100891363
ECB-GENEPAGE-23022637	ECB-GENE-23022638	LOC589648	KEGG:spu:589648
ECB-GENEPAGE-23022815	ECB-GENE-23022816	LOC578783	KEGG:spu:578783
ECB-GENEPAGE-23023105	ECB-GENE-23023106	LOC584855	KEGG:spu:584855
ECB-GENEPAGE-23023137	ECB-GENE-23023138	LOC762559	KEGG:spu:762559
ECB-GENEPAGE-23023233	ECB-GENE-23023234	LOC574996	KEGG:spu:574996
ECB-GENEPAGE-23023259	ECB-GENE-23023260	LOC588532	KEGG:spu:588532
ECB-GENEPAGE-23023265	ECB-GENE-23023266	cmas	KEGG:spu:588508
ECB-GENEPAGE-23023387	ECB-GENE-23023388	LOC576864	KEGG:spu:576864
ECB-GENEPAGE-23023676	ECB-GENE-23023677	LOC373353	KEGG:spu:373353
ECB-GENEPAGE-23023743	ECB-GENE-23023744	LOC100893357	KEGG:spu:100893357
ECB-GENEPAGE-23023935	ECB-GENE-23023936	LOC581802	KEGG:spu:581802
ECB-GENEPAGE-23023992	ECB-GENE-23023993	LOC576295	KEGG:spu:576295
ECB-GENEPAGE-23024170	ECB-GENE-23024171	LOC588356	KEGG:spu:588356
ECB-GENEPAGE-23024207	ECB-GENE-23024208	LOC580870	KEGG:spu:580870
ECB-GENEPAGE-23024213	ECB-GENE-23024214	LOC100893860	KEGG:spu:100893860
ECB-GENEPAGE-23024324	ECB-GENE-23024325	LOC100890844	KEGG:spu:100890844
ECB-GENEPAGE-23024341	ECB-GENE-23024342	LOC754398	KEGG:spu:754398
ECB-GENEPAGE-23024393	ECB-GENE-23024394	LOC584500	KEGG:spu:584500
ECB-GENEPAGE-23024433	ECB-GENE-23024434	LOC582059	KEGG:spu:582059
ECB-GENEPAGE-23024543	ECB-GENE-23024544	LOC592108	KEGG:spu:592108
ECB-GENEPAGE-23024667	ECB-GENE-23024668	LOC590315	KEGG:spu:590315
ECB-GENEPAGE-23024695	ECB-GENE-23024696	LOC753068	KEGG:spu:753068
ECB-GENEPAGE-23025070	ECB-GENE-23025071	LOC581048	KEGG:spu:581048
ECB-GENEPAGE-23025151	ECB-GENE-23025152	LOC585121	KEGG:spu:585121
ECB-GENEPAGE-23025289	ECB-GENE-23025290	LOC584008	KEGG:spu:584008
ECB-GENEPAGE-23025431	ECB-GENE-23025432	LOC583075	KEGG:spu:583075
ECB-GENEPAGE-23025453	ECB-GENE-23025454	LOC105446620	KEGG:spu:105446620
ECB-GENEPAGE-23025653	ECB-GENE-23025654	LOC587287	KEGG:spu:587287
ECB-GENEPAGE-23025745	ECB-GENE-23025746	LOC580532	KEGG:spu:580532
ECB-GENEPAGE-23025763	ECB-GENE-23025764	LOC580704	KEGG:spu:580704
ECB-GENEPAGE-23025997	ECB-GENE-23025998	LOC105446802	KEGG:spu:105446802
ECB-GENEPAGE-23026008	ECB-GENE-23026009	cgsp1	KEGG:spu:373199
ECB-GENEPAGE-23026017	ECB-GENE-23026018	LOC587144	KEGG:spu:587144
ECB-GENEPAGE-23026418	ECB-GENE-23026419	LOC100888818	KEGG:spu:100888818
ECB-GENEPAGE-23026437	ECB-GENE-23026438	LOC592741	KEGG:spu:592741
ECB-GENEPAGE-23026500	ECB-GENE-23026501	LOC100891116	KEGG:spu:100891116
ECB-GENEPAGE-23026712	ECB-GENE-23026713	LOC588867	KEGG:spu:588867
ECB-GENEPAGE-23026735	ECB-GENE-23026736	LOC576727	KEGG:spu:576727
ECB-GENEPAGE-23026867	ECB-GENE-23026868	LOC105439709	KEGG:spu:105439709
ECB-GENEPAGE-23026895	ECB-GENE-23026896	LOC576641	KEGG:spu:576641
ECB-GENEPAGE-23026929	ECB-GENE-23026930	LOC586249	KEGG:spu:586249
ECB-GENEPAGE-23027129	ECB-GENE-23027130	sfrpl	KEGG:spu:373265
ECB-GENEPAGE-23027183	ECB-GENE-23027184	LOC587260	KEGG:spu:587260
ECB-GENEPAGE-23027203	ECB-GENE-23027204	znf93l1	KEGG:spu:100893772
ECB-GENEPAGE-23027220	ECB-GENE-23027221	LOC373495	KEGG:spu:373495
ECB-GENEPAGE-23027432	ECB-GENE-23027433	LOC764793	KEGG:spu:764793
ECB-GENEPAGE-23027529	ECB-GENE-23027530	LOC592620	KEGG:spu:592620
ECB-GENEPAGE-23027735	ECB-GENE-23027736	LOC582328	KEGG:spu:582328
ECB-GENEPAGE-23027767	ECB-GENE-23027768	LOC105445182	KEGG:spu:105445182
ECB-GENEPAGE-23027845	ECB-GENE-23027846	LOC100891492	KEGG:spu:100891492
ECB-GENEPAGE-23027940	ECB-GENE-23027941	LOC594614	KEGG:spu:594614
ECB-GENEPAGE-23028114	ECB-GENE-23028115	LOC579909	KEGG:spu:579909
ECB-GENEPAGE-23028179	ECB-GENE-23028180	LOC100894003	KEGG:spu:100894003
ECB-GENEPAGE-23028456	ECB-GENE-23028457	psmd9	KEGG:spu:580703
ECB-GENEPAGE-23028680	ECB-GENE-23028681	znf74l	KEGG:spu:100888482
ECB-GENEPAGE-23028700	ECB-GENE-23028701	LOC105444571	KEGG:spu:105444571
ECB-GENEPAGE-23028779	ECB-GENE-23028780	LOC100891911	KEGG:spu:100891911
ECB-GENEPAGE-23028798	ECB-GENE-23028799	LOC754479	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23029068	ECB-GENE-23029069	znf91l2	KEGG:spu:100893693
ECB-GENEPAGE-23029219	ECB-GENE-23029220	LOC105445231	KEGG:spu:105445231
ECB-GENEPAGE-23029482	ECB-GENE-23029483	LOC105441418	KEGG:spu:105441418
ECB-GENEPAGE-23029531	ECB-GENE-23029532	znf546l1	KEGG:spu:100889018
ECB-GENEPAGE-23029616	ECB-GENE-23029617	LOC582422	KEGG:spu:582422
ECB-GENEPAGE-23029671	ECB-GENE-23029672	vps26c	KEGG:spu:585806
ECB-GENEPAGE-23029704	ECB-GENE-23029705	LOC105446483	KEGG:spu:105446483
ECB-GENEPAGE-23029736	ECB-GENE-23029737	erfl	KEGG:spu:589156
ECB-GENEPAGE-23029898	ECB-GENE-23029899	znf146l	KEGG:spu:590592
ECB-GENEPAGE-23029961	ECB-GENE-23029962	LOC586438	KEGG:spu:586438
ECB-GENEPAGE-23030271	ECB-GENE-23030272	LOC575705	KEGG:spu:575705
ECB-GENEPAGE-23030298	ECB-GENE-23030299	LOC100892220	KEGG:spu:100892220
ECB-GENEPAGE-23030304	ECB-GENE-23030305	bud13	KEGG:spu:587806
ECB-GENEPAGE-23030309	ECB-GENE-23030310	etfb	KEGG:spu:580475
ECB-GENEPAGE-23030462	ECB-GENE-23030463	LOC100888795	KEGG:spu:100888795
ECB-GENEPAGE-23030470	ECB-GENE-23030471	LOC592600	KEGG:spu:592600
ECB-GENEPAGE-23030558	ECB-GENE-23030559	LOC105446640	KEGG:spu:105446640
ECB-GENEPAGE-23030606	ECB-GENE-23030607	LOC584740	KEGG:spu:584740
ECB-GENEPAGE-23030816	ECB-GENE-23030817	LOC753898	KEGG:spu:753898
ECB-GENEPAGE-23031034	ECB-GENE-23031035	arcn1	KEGG:spu:575187
ECB-GENEPAGE-23031113	ECB-GENE-23031114	LOC593259	KEGG:spu:593259
ECB-GENEPAGE-23031156	ECB-GENE-23031157	LOC764033	KEGG:spu:764033
ECB-GENEPAGE-23031361	ECB-GENE-23031362	LOC575904	KEGG:spu:575904
ECB-GENEPAGE-23031572	ECB-GENE-23031573	nhlh1	KEGG:spu:100890854
ECB-GENEPAGE-23031580	ECB-GENE-23031581	LOC105444929	KEGG:spu:105444929
ECB-GENEPAGE-23031604	ECB-GENE-23031605	LOC105444932	KEGG:spu:105444932
ECB-GENEPAGE-23031668	ECB-GENE-23031669	LOC581533	KEGG:spu:581533
ECB-GENEPAGE-23031684	ECB-GENE-23031685	LOC100892456	KEGG:spu:100892456
ECB-GENEPAGE-23031695	ECB-GENE-23031696	LOC752187	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23032040	ECB-GENE-23032041	ndufs2	KEGG:spu:581848
ECB-GENEPAGE-23032082	ECB-GENE-23032083	LOC580678	KEGG:spu:580678
ECB-GENEPAGE-23032093	ECB-GENE-23032094	LOC100892537	KEGG:spu:100892537
ECB-GENEPAGE-23032198	ECB-GENE-23032199	LOC579414	KEGG:spu:579414
ECB-GENEPAGE-23032211	ECB-GENE-23032212	LOC579287	KEGG:spu:579287
ECB-GENEPAGE-23032217	ECB-GENE-23032218	esrrg	KEGG:spu:579226
ECB-GENEPAGE-23032478	ECB-GENE-23032479	LOC115917912	KEGG:spu:115917912
ECB-GENEPAGE-23032666	ECB-GENE-23032667	LOC592962	KEGG:spu:592962
ECB-GENEPAGE-23033275	ECB-GENE-23033276	LOC590094	KEGG:spu:590094
ECB-GENEPAGE-23033309	ECB-GENE-23033310	LOC589183	KEGG:spu:589183
ECB-GENEPAGE-23033351	ECB-GENE-23033352	LOC592355	KEGG:spu:592355
ECB-GENEPAGE-23033386	ECB-GENE-23033387	LOC105442898	KEGG:spu:105442898
ECB-GENEPAGE-23033588	ECB-GENE-23033589	ergl	KEGG:spu:397069
ECB-GENEPAGE-23033622	ECB-GENE-23033623	ets1	KEGG:spu:373306
ECB-GENEPAGE-23033802	ECB-GENE-23033803	LOC585934	KEGG:spu:585934
ECB-GENEPAGE-23033954	ECB-GENE-23033955	polr2h	KEGG:spu:591688
ECB-GENEPAGE-23034041	ECB-GENE-23034042	LOC579489	KEGG:spu:579489
ECB-GENEPAGE-23034071	ECB-GENE-23034072	znf91l1	KEGG:spu:100887895
ECB-GENEPAGE-23034244	ECB-GENE-23034245	aar2	KEGG:spu:591425
ECB-GENEPAGE-23034323	ECB-GENE-23034324	znf431l	KEGG:spu:586691
ECB-GENEPAGE-23034331	ECB-GENE-23034332	prdm9l3	KEGG:spu:100890845
ECB-GENEPAGE-23034428	ECB-GENE-23034429	trappc4	KEGG:spu:586589
ECB-GENEPAGE-23034508	ECB-GENE-23034509	LOC582836	KEGG:spu:582836
ECB-GENEPAGE-23034579	ECB-GENE-23034580	clamp	KEGG:spu:105443458
ECB-GENEPAGE-23034767	ECB-GENE-23034768	znf570l	KEGG:spu:100893803
ECB-GENEPAGE-23034836	ECB-GENE-23034837	bace	KEGG:spu:585631
ECB-GENEPAGE-23034954	ECB-GENE-23034955	LOC586619	KEGG:spu:586619
ECB-GENEPAGE-23035090	ECB-GENE-23035091	LOC575179	KEGG:spu:575179
ECB-GENEPAGE-23035470	ECB-GENE-23035471	LOC105440643	KEGG:spu:105440643
ECB-GENEPAGE-23035494	ECB-GENE-23035495	sdhd	KEGG:spu:588082
ECB-GENEPAGE-23035509	ECB-GENE-23035510	LOC587987	KEGG:spu:587987
ECB-GENEPAGE-23035608	ECB-GENE-23035609	LOC590491	KEGG:spu:590491
ECB-GENEPAGE-23036184	ECB-GENE-23036185	LOC578055	KEGG:spu:578055
ECB-GENEPAGE-23036231	ECB-GENE-23036232	nfkb1	KEGG:spu:373533
ECB-GENEPAGE-23036267	ECB-GENE-23036268	bmp1l	KEGG:spu:373360
ECB-GENEPAGE-23036406	ECB-GENE-23036407	LOC100891439	KEGG:spu:100891439
ECB-GENEPAGE-23036463	ECB-GENE-23036464	LOC100892110	KEGG:spu:100892110
ECB-GENEPAGE-23036500	ECB-GENE-23036501	LOC105444666	KEGG:spu:105444666
ECB-GENEPAGE-23036505	ECB-GENE-23036506	LOC581661	KEGG:spu:581661
ECB-GENEPAGE-23036620	ECB-GENE-23036621	nodall	KEGG:spu:579010
ECB-GENEPAGE-23036704	ECB-GENE-23036705	LOC581030	KEGG:spu:105440217,KEGG:spu:581030,KEGG:spu:582332,KEGG:spu:754126
ECB-GENEPAGE-23036709	ECB-GENE-23036710	LOC373346	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23036724	ECB-GENE-23036725	wnt8a	KEGG:spu:397068
ECB-GENEPAGE-23036772	ECB-GENE-23036773	LOC100888275	KEGG:spu:100888275
ECB-GENEPAGE-23036776	ECB-GENE-23036777	mrps24	KEGG:spu:579219
ECB-GENEPAGE-23037054	ECB-GENE-23037055	dctn4	KEGG:spu:577225
ECB-GENEPAGE-23037080	ECB-GENE-23037081	LOC592294	KEGG:spu:592294
ECB-GENEPAGE-23037120	ECB-GENE-23037121	LOC583790	KEGG:spu:583790
ECB-GENEPAGE-23037168	ECB-GENE-23037169	LOC581457	KEGG:spu:581457
ECB-GENEPAGE-23037174	ECB-GENE-23037175	LOC581509	KEGG:spu:581509
ECB-GENEPAGE-23037186	ECB-GENE-23037187	LOC583478	KEGG:spu:583478
ECB-GENEPAGE-23037253	ECB-GENE-23037254	suPaxB	KEGG:spu:373405
ECB-GENEPAGE-23037295	ECB-GENE-23037296	ppm1k	KEGG:spu:590885
ECB-GENEPAGE-23037348	ECB-GENE-23037349	LOC579484	KEGG:spu:579484
ECB-GENEPAGE-23037402	ECB-GENE-23037403	LOC582704	KEGG:spu:582704
ECB-GENEPAGE-23037412	ECB-GENE-23037413	LOC585200	KEGG:spu:585200
ECB-GENEPAGE-23037431	ECB-GENE-23037432	LOC585158	KEGG:spu:585158
ECB-GENEPAGE-23037459	ECB-GENE-23037460	tm9sf3	KEGG:spu:580027
ECB-GENEPAGE-23037538	ECB-GENE-23037539	LOC575697	KEGG:spu:575697
ECB-GENEPAGE-23037559	ECB-GENE-23037560	LOC100891172	KEGG:spu:100891172
ECB-GENEPAGE-23037623	ECB-GENE-23037624	LOC574595	KEGG:spu:574595
ECB-GENEPAGE-23037838	ECB-GENE-23037839	LOC105444360	KEGG:spu:105444360
ECB-GENEPAGE-23038023	ECB-GENE-23038024	LOC756458	KEGG:spu:756458
ECB-GENEPAGE-23038119	ECB-GENE-23038120	LOC583788	KEGG:spu:583788
ECB-GENEPAGE-23038130	ECB-GENE-23038131	LOC575412	KEGG:spu:575412
ECB-GENEPAGE-23038220	ECB-GENE-23038221	LOC579400	KEGG:spu:579400
ECB-GENEPAGE-23038261	ECB-GENE-23038262	LOC105440599	KEGG:spu:105440599
ECB-GENEPAGE-23038268	ECB-GENE-23038269	LOC591574	KEGG:spu:591574
ECB-GENEPAGE-23038665	ECB-GENE-23038666	drgx	KEGG:spu:100890782
ECB-GENEPAGE-23038888	ECB-GENE-23038889	rhol2	KEGG:spu:579346
ECB-GENEPAGE-23038964	ECB-GENE-23038965	pitx2	KEGG:spu:576991
ECB-GENEPAGE-23038986	ECB-GENE-23038987	LOC578044	KEGG:spu:578044
ECB-GENEPAGE-23039260	ECB-GENE-23039261	LOC592560	KEGG:spu:592560
ECB-GENEPAGE-23039266	ECB-GENE-23039267	4e-bp	KEGG:spu:752411
ECB-GENEPAGE-23039320	ECB-GENE-23039321	ppp2cb	KEGG:spu:580852
ECB-GENEPAGE-23039349	ECB-GENE-23039350	LOC581972	KEGG:spu:581972
ECB-GENEPAGE-23039383	ECB-GENE-23039384	h2a.z	KEGG:spu:373345
ECB-GENEPAGE-23039495	ECB-GENE-23039496	LOC584331	KEGG:spu:584331
ECB-GENEPAGE-23039650	ECB-GENE-23039651	LOC587858	KEGG:spu:587858
ECB-GENEPAGE-23039654	ECB-GENE-23039655	trhrl	KEGG:spu:580190
ECB-GENEPAGE-23039658	ECB-GENE-23039659	LOC587892	KEGG:spu:587892
ECB-GENEPAGE-23039662	ECB-GENE-23039663	LOC587916	KEGG:spu:587916
ECB-GENEPAGE-23039666	ECB-GENE-23039667	LOC580008	KEGG:spu:580008
ECB-GENEPAGE-23039971	ECB-GENE-23039972	LOC585462	KEGG:spu:585462
ECB-GENEPAGE-23040029	ECB-GENE-23040030	rps14	KEGG:spu:574895
ECB-GENEPAGE-23040104	ECB-GENE-23040105	LOC589521	KEGG:spu:589521
ECB-GENEPAGE-23040243	ECB-GENE-23040244	LOC578540	KEGG:spu:578540
ECB-GENEPAGE-23040314	ECB-GENE-23040315	LOC586595	KEGG:spu:586595
ECB-GENEPAGE-23040335	ECB-GENE-23040336	LOC592577	KEGG:spu:592577
ECB-GENEPAGE-23040430	ECB-GENE-23040431	dkk	KEGG:spu:100048987
ECB-GENEPAGE-23040478	ECB-GENE-23040479	LOC581777	KEGG:spu:581777
ECB-GENEPAGE-23040487	ECB-GENE-23040488	LOC581979	KEGG:spu:581979
ECB-GENEPAGE-23040723	ECB-GENE-23040724	nme5	KEGG:spu:585473
ECB-GENEPAGE-23040741	ECB-GENE-23040742	cdk1	KEGG:spu:575965
ECB-GENEPAGE-23040786	ECB-GENE-23040787	LOC575696	KEGG:spu:575696
ECB-GENEPAGE-23040802	ECB-GENE-23040803	polb	KEGG:spu:582628
ECB-GENEPAGE-23040861	ECB-GENE-23040862	LOC584790	KEGG:spu:584790
ECB-GENEPAGE-23040865	ECB-GENE-23040866	trmt10a	KEGG:spu:100889803
ECB-GENEPAGE-23041013	ECB-GENE-23041014	LOC594523	KEGG:spu:594523
ECB-GENEPAGE-23041236	ECB-GENE-23041237	LOC584065	KEGG:spu:584065
ECB-GENEPAGE-23041242	ECB-GENE-23041243	LOC584108	KEGG:spu:584108
ECB-GENEPAGE-23041423	ECB-GENE-23041424	LOC579579	KEGG:spu:579579
ECB-GENEPAGE-23041473	ECB-GENE-23041474	LOC576250	KEGG:spu:576250
ECB-GENEPAGE-23041495	ECB-GENE-23041496	eif4e1	KEGG:spu:100048986
ECB-GENEPAGE-23041716	ECB-GENE-23041717	LOC592523	KEGG:spu:592523
ECB-GENEPAGE-23041859	ECB-GENE-23041860	LOC582219	KEGG:spu:582219
ECB-GENEPAGE-23041877	ECB-GENE-23041878	LOC580774	KEGG:spu:580774
ECB-GENEPAGE-23041883	ECB-GENE-23041884	LOC100889289	KEGG:spu:100889289
ECB-GENEPAGE-23042073	ECB-GENE-23042074	c4orf47	KEGG:spu:591073
ECB-GENEPAGE-23042092	ECB-GENE-23042093	LOC591155	KEGG:spu:591155
ECB-GENEPAGE-23042352	ECB-GENE-23042353	SPARC	KEGG:spu:591523
ECB-GENEPAGE-23042576	ECB-GENE-23042577	LOC575250	KEGG:spu:575250
ECB-GENEPAGE-23042654	ECB-GENE-23042655	LOC100888272	KEGG:spu:100888272
ECB-GENEPAGE-23042677	ECB-GENE-23042678	LOC752107	KEGG:spu:752107
ECB-GENEPAGE-23042764	ECB-GENE-23042765	LOC579868	KEGG:spu:579868
